evidence_id,resource_key,evidence_type,evidence_path,evidence_sha256,evidence_created_at,evidence_created_by,evidence_used_for,evidence_summary,is_committed_to_repo,external_artifact_url
source-bangdream_001_2018_dog,bangdream_001_2018_dog,source_row,source-snapshot.json,,2026-06-15T10:08:11Z,scripts/build_bangdream_rendered_resource_audit.py,resource_identity,001_2018_dog,True,
render-bangdream_001_2018_dog,bangdream_001_2018_dog,rebuildable_render_cache,src/data/deskpet/bangdream-rendered-resource-audit/rendered/bangdream_001_2018_dog.png,7840c1cd82f15c273a69817dde2912d925d34a7d2b46ff1aa414983183718558,,scripts/render_bangdream_resource_images.mjs,final_render_tagger_and_dedup_rebuildable_cache,"{""bounds"": [440, 332], ""nonblank_ratio"": 0.237431, ""status"": ""rendered""}",False,
source-bangdream_001_2018_halloween,bangdream_001_2018_halloween,source_row,source-snapshot.json,,2026-06-15T10:08:11Z,scripts/build_bangdream_rendered_resource_audit.py,resource_identity,001_2018_halloween,True,
source-bangdream_001_2019_furisode,bangdream_001_2019_furisode,source_row,source-snapshot.json,,2026-06-15T10:08:11Z,scripts/build_bangdream_rendered_resource_audit.py,resource_identity,001_2019_furisode,True,
render-bangdream_001_2019_furisode,bangdream_001_2019_furisode,rebuildable_render_cache,src/data/deskpet/bangdream-rendered-resource-audit/rendered/bangdream_001_2019_furisode.png,e5b652807ff42b35dbab8ff0f21f0fee43373751378ee228a91d813daee4a54b,,scripts/render_bangdream_resource_images.mjs,final_render_tagger_and_dedup_rebuildable_cache,"{""bounds"": [440, 333], ""nonblank_ratio"": 0.218653, ""status"": ""rendered""}",False,
source-bangdream_001_2019af,bangdream_001_2019af,source_row,source-snapshot.json,,2026-06-15T10:08:11Z,scripts/build_bangdream_rendered_resource_audit.py,resource_identity,001_2019af,True,
source-bangdream_001_2021af,bangdream_001_2021af,source_row,source-snapshot.json,,2026-06-15T10:08:11Z,scripts/build_bangdream_rendered_resource_audit.py,resource_identity,001_2021af,True,
render-bangdream_001_2021af,bangdream_001_2021af,rebuildable_render_cache,src/data/deskpet/bangdream-rendered-resource-audit/rendered/bangdream_001_2021af.png,cf1182e537fbb2728cf07da4eaf21b91925f3d38c58a71a9f2e2acd025a76bfb,,scripts/render_bangdream_resource_images.mjs,final_render_tagger_and_dedup_rebuildable_cache,"{""bounds"": [440, 376], ""nonblank_ratio"": 0.258137, ""status"": ""rendered""}",False,
source-bangdream_001_2024_furisode,bangdream_001_2024_furisode,source_row,source-snapshot.json,,2026-06-15T10:08:11Z,scripts/build_bangdream_rendered_resource_audit.py,resource_identity,001_2024_furisode,True,
render-bangdream_001_2024_furisode,bangdream_001_2024_furisode,rebuildable_render_cache,src/data/deskpet/bangdream-rendered-resource-audit/rendered/bangdream_001_2024_furisode.png,65d490f157ad60a59050f032ac5a2ab6cb0c558fd38cd5b0654a980ddd7ee64e,,scripts/render_bangdream_resource_images.mjs,final_render_tagger_and_dedup_rebuildable_cache,"{""bounds"": [440, 333], ""nonblank_ratio"": 0.21972, ""status"": ""rendered""}",False,
source-bangdream_001_arbeit,bangdream_001_arbeit,source_row,source-snapshot.json,,2026-06-15T10:08:11Z,scripts/build_bangdream_rendered_resource_audit.py,resource_identity,001_arbeit,True,
render-bangdream_001_arbeit,bangdream_001_arbeit,rebuildable_render_cache,src/data/deskpet/bangdream-rendered-resource-audit/rendered/bangdream_001_arbeit.png,8d5783657e05538262b8cfe7572aeed3e7bdfdb6cb43a804477027c9270c8f54,,scripts/render_bangdream_resource_images.mjs,final_render_tagger_and_dedup_rebuildable_cache,"{""bounds"": [440, 331], ""nonblank_ratio"": 0.205649, ""status"": ""rendered""}",False,
source-bangdream_001_birthday_2021,bangdream_001_birthday_2021,source_row,source-snapshot.json,,2026-06-15T10:08:11Z,scripts/build_bangdream_rendered_resource_audit.py,resource_identity,001_birthday_2021,True,
