resource_key,pipeline_status,recommended_pool,review_reason_codes,render_status,render_image_path,tagger_status,tagger_policy_tag_scores_json,review_queue_kind
bangdream_upstream_201_casual,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_201_casual-2023,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_201_event_289_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_201_marina_other-41,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_201_special_5th,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_209_casual,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_209_event_110_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_209_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_210_casual,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_211_default,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_212_casual,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_213_casual,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_214_casual,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_214_casual-2023,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_214_event_102_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_214_event_113_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_214_event_119_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_214_event_128_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_214_event_147_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_214_event_216_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_214_school_summer,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_214_school_winter-2023,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_214_school_winter_s2,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_215_casual,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_216_school,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_217_event_40,out_of_scope,pending,,,,,,pipeline_pending
