resource_key,resource_key_strategy,model_key,local_code,upstream_code,variant,costume_key,family,character_name_zh,character_name_ja,band,row_kind,is_current_pool,is_covered_candidate,is_union_reference,gist_selection_proxy_bucket,gist_selection_proxy_score,gist_content_safety_hint,bestdori_available_servers,bestdori_preferred_server,tagger_visual_evidence_status,tagger_visual_evidence_count,tagger_visual_evidence_primary_url,tagger_visual_evidence_primary_sha256,download_status,conversion_status,validate_status,render_status,render_complete_person_decision,render_complete_person_reason,render_nonblank_ratio,render_bounds_width,render_bounds_height,render_bounds_inside_ratio,render_image_sha256_primary,render_image_sha256_desktop,render_image_sha256_mobile,tagger_model_id,tagger_model_revision,rating_signal_source,rating_score_general,rating_score_sensitive,rating_score_questionable,rating_score_explicit,rating_predicted_label,rating_confidence,rating_margin,llm_review_status,llm_review_reason,needs_llm_review,llm_review_label,needs_human_review,human_review_label,final_content_rating,content_policy_decision,eligible_for_default_pool,eligible_for_sensitive_easter_egg_pool,exclusion_reason,evidence_refs
bangdream_001_2018_dog,local_code_variant,001_2018_dog,001,001,2018_dog,001_2018_dog,other,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,D,44,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,1,https://bestdori.com/assets/jp/live2d/chara/001_2018_dog_rip/texture_00.png,24e76a2f14176fec1a7fe9c9d66c8254c813b5b96f7740f79be0b4d33480e501,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.3117665648460388,0.7593263983726501,0.001065458869561553,0.0001426200760761276,sensitive,0.7593263983726501,0.44755983352661133,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-2""]"
bangdream_001_2018_halloween,local_code_variant,001_2018_halloween,001,001,2018_halloween,001_2018_halloween,other,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,D,36,manual_review_required,"[""cn""]",cn,failed,0,,,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,unavailable,,,,,unknown,,,blocked,visual_evidence_unavailable,True,,True,,unknown,pending,False,False,content review pending,"[""raw-gist-candidate-3""]"
bangdream_001_2019_furisode,local_code_variant,001_2019_furisode,001,001,2019_furisode,001_2019_furisode,furisode,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,A,85,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,1,https://bestdori.com/assets/jp/live2d/chara/001_2019_furisode_rip/texture_00.png,aa222cb22685476eac0ea29ccc9eef3ad76944735ea3eb9ec8222da37d0152cd,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.9518469572067261,0.05377928540110588,0.0005946354940533638,4.273145168554038e-05,general,0.9518469572067261,0.8980676718056202,not_required,tagger_confident,False,,False,,general,allow_default,True,False,,"[""raw-gist-candidate-4""]"
bangdream_001_2019af,local_code_variant,001_2019af,001,001,2019af,001_2019af,other,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,D,36,manual_review_required,"[""cn""]",cn,failed,0,,,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,unavailable,,,,,unknown,,,blocked,visual_evidence_unavailable,True,,True,,unknown,pending,False,False,content review pending,"[""raw-gist-candidate-5""]"
bangdream_001_2021af,local_code_variant,001_2021af,001,001,2021af,001_2021af,other,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,D,44,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,1,https://bestdori.com/assets/jp/live2d/chara/001_2021af_rip/texture_00.png,5a7a71dadc6796fb469cd9c57559b961302d7345f65fcc28813c2e9a31382545,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.954447329044342,0.0603911429643631,0.0008899959502741694,8.076274389168248e-05,general,0.954447329044342,0.8940561860799789,not_required,tagger_confident,False,,False,,general,allow_default,True,False,,"[""raw-gist-candidate-6""]"
bangdream_001_2024_furisode,local_code_variant,001_2024_furisode,001,001,2024_furisode,001_2024_furisode,furisode,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,B,83,manual_review_required,"[""jp"", ""cn"", ""en"", ""tw""]",jp,ready,2,https://bestdori.com/assets/jp/live2d/chara/001_general_rip/texture_00.png,0fa82ba20cd12cacc015bad7f21ee392b0a03df49782808404b0d444d7f71ce1,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.16588373482227325,0.8916085362434387,0.00028933293651789427,9.514815610600635e-05,sensitive,0.8916085362434387,0.7257248014211655,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-7""]"
bangdream_001_arbeit,local_code_variant,001_arbeit,001,001,arbeit,001_arbeit,arbeit,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,D,44,manual_review_required,"[""jp"", ""cn"", ""en"", ""tw""]",jp,ready,2,https://bestdori.com/assets/jp/live2d/chara/001_general_rip/texture_00.png,0fa82ba20cd12cacc015bad7f21ee392b0a03df49782808404b0d444d7f71ce1,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.16588373482227325,0.8916085362434387,0.00028933293651789427,9.514815610600635e-05,sensitive,0.8916085362434387,0.7257248014211655,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-8""]"
bangdream_001_birthday_2021,local_code_variant,001_birthday_2021,001,001,birthday_2021,001_birthday_2021,birthday,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,A,100,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,2,https://bestdori.com/assets/jp/live2d/chara/001_birthday_2021_rip/texture_00.png,40153b07ea28065368f194600562fe52c6ad6eac29593f067a371477effca6d4,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.008499974384903908,0.9885580539703369,0.0012866369215771556,5.346359102986753e-05,sensitive,0.9885580539703369,0.980058079585433,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-9""]"
bangdream_001_birthday_2022,local_code_variant,001_birthday_2022,001,001,birthday_2022,001_birthday_2022,birthday,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,A,100,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,2,https://bestdori.com/assets/jp/live2d/chara/001_birthday_2022_rip/texture_00.png,3d10694de8272f1514b2eb8a1cd9c3f6957d54c627776773dacb0a97a09f0115,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.8907853960990906,0.10586146265268326,0.0010477688629180193,0.00014709476090501994,general,0.8907853960990906,0.7849239334464073,not_required,tagger_confident,False,,False,,general,allow_default,True,False,,"[""raw-gist-candidate-10""]"
bangdream_001_cafe,local_code_variant,001_cafe,001,001,cafe,001_cafe,other,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,D,44,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,1,https://bestdori.com/assets/jp/live2d/chara/001_cafe_rip/texture_00.png,2093c004e3f8efdd4cfa97bddbc746e091d5878bfda2ec7ec3dc5cbb6c1dfe79,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.5876578688621521,0.42398974299430847,0.0011453961487859488,0.00011582531442400068,general,0.5876578688621521,0.16366812586784363,completed,low_confidence_direct_rating threshold=0.27,False,unknown,True,,unknown,pending,False,False,LLM review inconclusive: label=unknown confidence=0.54,"[""raw-gist-candidate-11"", ""llm-review-bangdream_001_cafe""]"
bangdream_001_casual-2023,local_code_variant,001_casual-2023,001,001,casual-2023,001_casual-2023,casual,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,A,93,manual_review_required,"[""jp"", ""cn"", ""en"", ""tw""]",jp,ready,2,https://bestdori.com/assets/jp/live2d/chara/001_general_rip/texture_00.png,0fa82ba20cd12cacc015bad7f21ee392b0a03df49782808404b0d444d7f71ce1,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.16588373482227325,0.8916085362434387,0.00028933293651789427,9.514815610600635e-05,sensitive,0.8916085362434387,0.7257248014211655,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-17""]"
bangdream_001_casual_summer-2023,local_code_variant,001_casual_summer-2023,001,001,casual_summer-2023,001_casual_summer-2023,casual,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,A,93,manual_review_required,"[""jp"", ""cn"", ""en"", ""tw""]",jp,ready,2,https://bestdori.com/assets/jp/live2d/chara/001_general_rip/texture_00.png,0fa82ba20cd12cacc015bad7f21ee392b0a03df49782808404b0d444d7f71ce1,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.16588373482227325,0.8916085362434387,0.00028933293651789427,9.514815610600635e-05,sensitive,0.8916085362434387,0.7257248014211655,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-14""]"
bangdream_001_casual_winter-2023,local_code_variant,001_casual_winter-2023,001,001,casual_winter-2023,001_casual_winter-2023,casual,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,A,93,manual_review_required,"[""jp"", ""cn"", ""en"", ""tw""]",jp,ready,2,https://bestdori.com/assets/jp/live2d/chara/001_general_rip/texture_00.png,0fa82ba20cd12cacc015bad7f21ee392b0a03df49782808404b0d444d7f71ce1,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.16588373482227325,0.8916085362434387,0.00028933293651789427,9.514815610600635e-05,sensitive,0.8916085362434387,0.7257248014211655,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-16""]"
bangdream_001_chapter0_live,local_code_variant,001_chapter0_live,001,001,chapter0_live,001_chapter0_live,other,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,D,44,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,1,https://bestdori.com/assets/jp/live2d/chara/001_chapter0_live_rip/texture_00.png,0ac291a3a88a5afd218d2c676613b4e536fef0d5317d1ada547323db5dd545c2,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.003988629672676325,0.9952855706214905,0.001426836708560586,0.00015583400090690702,sensitive,0.9952855706214905,0.9912969409488142,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-18""]"
