family,row_count,current_pool_count,covered_candidate_count,union_reference_count,general_count,sensitive_count,questionable_count,explicit_count,unknown_count,allow_default_count,allow_sensitive_easter_egg_count,quarantine_count,policy_reject_count,pending_count,render_success_rate,validate_success_rate,needs_llm_review_count,needs_human_review_count
arbeit,13,0,13,13,0,0,0,0,13,0,0,0,0,13,0.0,0.0,13,13
birthday,75,1,75,75,0,0,0,0,75,0,0,0,0,75,0.0,0.013333,75,75
casual,236,88,217,236,0,0,0,0,236,0,0,0,0,236,0.0,0.372881,236,236
collabo,22,3,22,22,0,0,0,0,22,0,0,0,0,22,0.0,0.136364,22,22
dream_festival,133,9,133,133,0,0,0,0,133,0,0,0,0,133,0.0,0.067669,133,133
event_story,364,5,318,364,0,0,0,0,364,0,0,0,0,364,0.0,0.013736,364,364
furisode,52,0,52,52,0,0,0,0,52,0,0,0,0,52,0.0,0.0,52,52
kirameki_festival,19,9,19,19,0,0,0,0,19,0,0,0,0,19,0.0,0.473684,19,19
live_default,44,3,40,44,0,0,0,0,44,0,0,0,0,44,0.0,0.068182,44,44
live_event,1670,36,1670,1670,0,0,0,0,1670,0,0,0,0,1670,0.0,0.021557,1670,1670
live_r,153,0,152,153,0,0,0,0,153,0,0,0,0,153,0.0,0.0,153,153
live_sr,35,0,35,35,0,0,0,0,35,0,0,0,0,35,0.0,0.0,35,35
live_ssr,10,0,10,10,0,0,0,0,10,0,0,0,0,10,0.0,0.0,10,10
other,381,1,361,381,0,0,0,0,381,0,0,0,0,381,0.0,0.002625,381,381
school,180,10,168,180,0,0,0,0,180,0,0,0,0,180,0.0,0.055556,180,180
special_5th,36,0,35,36,0,0,0,0,36,0,0,0,0,36,0.0,0.0,36,36
swimsuit,20,0,20,20,0,0,0,0,20,0,0,0,0,20,0.0,0.0,20,20
