resource_key,model_key,character_code,character_name,variant,resource_type,runtime,manifest_path,render_status,complete_person_decision,complete_person_reason,canvas_width,canvas_height,model_width,model_height,nonblank_pixels,nonblank_ratio,bounds_min_x,bounds_min_y,bounds_max_x,bounds_max_y,bounds_width,bounds_height,slot_x,slot_y,slot_width,slot_height,bounds_inside_ratio,fill_width_ratio,fill_height_ratio,left_overflow,right_overflow,top_overflow,bottom_overflow,issue_level,texture_count,texture_pixels,render_canvas_sha256,screenshot_path,error_stage,error_message,audited_at,duration_ms
bangdream_001_casual,001_casual,001,户山香澄,casual,半身 / 私服立绘,cubism2,src/vendor/deskpet/bangdream-models/001_casual/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,61712,0.26972,0,65,439,436,440,372,52,34,344,430,0.779717,1.27907,0.865116,52,43,0,0,good,1,1048576,a74b6565cd3f904f4869ecef26efc6889231b1b06fbbd8707b0acb0d6a662cfb,.cache/deskpet-audit/render-screenshots/bangdream_001_casual.png,,,2026-06-14T19:18:55.670Z,1106
bangdream_001_casual_summer,001_casual_summer,001,户山香澄,casual_summer,半身 / 夏装立绘,cubism2,src/vendor/deskpet/bangdream-models/001_casual_summer/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,58058,0.25375,0,65,439,436,440,372,52,34,344,430,0.779717,1.27907,0.865116,52,43,0,0,good,1,1048576,24880e9e0e67ea79773731da2448612e08fa18bba87f4b754864b19ad7c193e3,.cache/deskpet-audit/render-screenshots/bangdream_001_casual_summer.png,,,2026-06-14T19:18:56.777Z,1116
bangdream_001_casual_winter,001_casual_winter,001,户山香澄,casual_winter,半身 / 冬装立绘,cubism2,src/vendor/deskpet/bangdream-models/001_casual_winter/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,61036,0.266766,0,65,439,436,440,372,52,34,344,430,0.779717,1.27907,0.865116,52,43,0,0,good,1,1048576,ca21b37ae27527b4ead7ffe511d3f37fa70bab082fb8543b4e84290580c4f05c,.cache/deskpet-audit/render-screenshots/bangdream_001_casual_winter.png,,,2026-06-14T19:18:57.893Z,1065
bangdream_002_casual,002_casual,002,花园多惠,casual,半身 / 私服立绘,cubism2,src/vendor/deskpet/bangdream-models/002_casual/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,58517,0.255756,0,46,439,436,440,391,52,34,344,430,0.779819,1.27907,0.909302,52,43,0,0,good,1,1048576,6b12beb7c3498320623c3709180b95e03dd2017309b62b9c2e7dee6dd99b05fd,.cache/deskpet-audit/render-screenshots/bangdream_002_casual.png,,,2026-06-14T19:18:58.958Z,1002
bangdream_002_casual_summer,002_casual_summer,002,花园多惠,casual_summer,半身 / 夏装立绘,cubism2,src/vendor/deskpet/bangdream-models/002_casual_summer/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,59455,0.259856,0,46,439,436,440,391,52,34,344,430,0.779819,1.27907,0.909302,52,43,0,0,good,1,1048576,316acd8a59ff1c4ae02b1de5b00a61141367ee9b32a3a04a5393cc991efb96be,.cache/deskpet-audit/render-screenshots/bangdream_002_casual_summer.png,,,2026-06-14T19:18:59.960Z,1097
bangdream_002_casual_winter,002_casual_winter,002,花园多惠,casual_winter,半身 / 冬装立绘,cubism2,src/vendor/deskpet/bangdream-models/002_casual_winter/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,60420,0.264073,0,46,439,436,440,391,52,34,344,430,0.779819,1.27907,0.909302,52,43,0,0,good,1,1048576,d6448274040dc7c4327064fddf2fd030d1a7c8c98303891dde8ee5cbb0ad6426,.cache/deskpet-audit/render-screenshots/bangdream_002_casual_winter.png,,,2026-06-14T19:19:01.057Z,1151
bangdream_003_casual,003_casual,003,牛込里美,casual,半身 / 私服立绘,cubism2,src/vendor/deskpet/bangdream-models/003_casual/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,56790,0.248208,0,78,439,436,440,359,52,34,344,430,0.77964,1.27907,0.834884,52,43,0,0,good,1,1048576,1a034464878215c7dbf388df9ef85f81478d0632d02080d5ab750c0cab0a2d37,.cache/deskpet-audit/render-screenshots/bangdream_003_casual.png,,,2026-06-14T19:19:02.208Z,983
bangdream_003_casual_summer,003_casual_summer,003,牛込里美,casual_summer,半身 / 夏装立绘,cubism2,src/vendor/deskpet/bangdream-models/003_casual_summer/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,58025,0.253606,0,75,439,436,440,362,52,34,344,430,0.779658,1.27907,0.84186,52,43,0,0,good,1,1048576,e3fef34ce2dff90fd2b4fa720935f56c077b8ecbe58d73537a28cea9b31dcf80,.cache/deskpet-audit/render-screenshots/bangdream_003_casual_summer.png,,,2026-06-14T19:19:03.191Z,1016
bangdream_003_casual_winter,003_casual_winter,003,牛込里美,casual_winter,半身 / 冬装立绘,cubism2,src/vendor/deskpet/bangdream-models/003_casual_winter/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,59914,0.261862,0,69,439,436,440,368,52,34,344,430,0.779694,1.27907,0.855814,52,43,0,0,good,1,1048576,0b2f3f4f77bf4810c9168703ef4d55588e0ea577f1d78fd631ed3f1810d83cb1,.cache/deskpet-audit/render-screenshots/bangdream_003_casual_winter.png,,,2026-06-14T19:19:04.207Z,1033
bangdream_004_casual,004_casual,004,山吹沙绫,casual,半身 / 私服立绘,cubism2,src/vendor/deskpet/bangdream-models/004_casual/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,59122,0.2584,0,26,439,436,440,411,52,34,344,430,0.764698,1.27907,0.955814,52,43,8,0,good,1,1048576,458da4089e4caf958e4b0a218c59116258d58430f475a2c6dc1547f94e382e7d,.cache/deskpet-audit/render-screenshots/bangdream_004_casual.png,,,2026-06-14T19:19:05.241Z,1017
